query_id,rank,target_id
afhq_cat_013341,1,afhq_dog_000079
afhq_cat_013341,2,afhq_dog_014992
afhq_cat_013341,3,afhq_dog_002130
afhq_cat_013341,4,afhq_dog_001283
afhq_cat_013341,5,afhq_dog_014645
afhq_cat_013341,6,afhq_dog_014903
afhq_cat_013341,7,afhq_dog_000883
afhq_cat_013341,8,afhq_dog_000358
afhq_cat_013341,9,afhq_dog_000799
afhq_cat_013341,10,afhq_dog_002294
afhq_cat_013341,11,afhq_dog_002644
afhq_cat_013341,12,afhq_dog_000672
afhq_cat_013341,13,afhq_dog_002889
afhq_cat_013341,14,afhq_dog_004317
afhq_cat_013341,15,afhq_dog_001809
afhq_cat_013801,1,afhq_dog_003825
afhq_cat_013801,2,afhq_dog_014676
afhq_cat_013801,3,afhq_dog_014741
afhq_cat_013801,4,afhq_dog_004391
afhq_cat_013801,5,afhq_dog_000845
afhq_cat_013801,6,afhq_dog_004300
afhq_cat_013801,7,afhq_dog_014783
afhq_cat_013801,8,afhq_dog_000044
afhq_cat_013801,9,afhq_dog_001283
afhq_cat_013801,10,afhq_dog_002015
afhq_cat_013801,11,afhq_dog_000688
afhq_cat_013801,12,afhq_dog_003935
afhq_cat_013801,13,afhq_dog_001240
afhq_cat_013801,14,afhq_dog_001809
afhq_cat_013801,15,afhq_dog_000883
afhq_cat_011422,1,afhq_dog_002291
afhq_cat_011422,2,afhq_dog_001781
afhq_cat_011422,3,afhq_dog_003709
afhq_cat_011422,4,afhq_dog_001049
afhq_cat_011422,5,afhq_dog_000367
afhq_cat_011422,6,afhq_dog_004398
afhq_cat_011422,7,afhq_dog_002801
afhq_cat_011422,8,afhq_dog_001302
afhq_cat_011422,9,afhq_dog_000323
afhq_cat_011422,10,afhq_dog_002340
afhq_cat_011422,11,afhq_dog_000733
afhq_cat_011422,12,afhq_dog_004619
afhq_cat_011422,13,afhq_dog_003389
afhq_cat_011422,14,afhq_dog_002945
afhq_cat_011422,15,afhq_dog_001310
afhq_cat_009964,1,afhq_dog_001952
