query_id,rank,target_id
afhq_dog_000079,1,afhq_cat_010387
afhq_dog_000079,2,afhq_cat_015820
afhq_dog_000079,3,afhq_cat_010098
afhq_dog_000079,4,afhq_cat_015791
afhq_dog_000079,5,afhq_cat_013006
afhq_dog_000079,6,afhq_cat_011049
afhq_dog_000079,7,afhq_cat_013955
afhq_dog_000079,8,afhq_cat_014199
afhq_dog_000079,9,afhq_cat_014393
afhq_dog_000079,10,afhq_cat_012091
afhq_dog_000079,11,afhq_cat_015697
afhq_dog_000079,12,afhq_cat_010289
afhq_dog_000079,13,afhq_cat_010652
afhq_dog_000079,14,afhq_cat_010815
afhq_dog_000079,15,afhq_cat_014365
afhq_dog_001544,1,afhq_cat_010067
afhq_dog_001544,2,afhq_cat_013101
afhq_dog_001544,3,afhq_cat_011260
afhq_dog_001544,4,afhq_cat_015975
afhq_dog_001544,5,afhq_cat_013450
afhq_dog_001544,6,afhq_cat_010652
afhq_dog_001544,7,afhq_cat_013714
afhq_dog_001544,8,afhq_cat_011457
afhq_dog_001544,9,afhq_cat_012198
afhq_dog_001544,10,afhq_cat_010550
afhq_dog_001544,11,afhq_cat_013328
afhq_dog_001544,12,afhq_cat_014229
afhq_dog_001544,13,afhq_cat_016052
afhq_dog_001544,14,afhq_cat_013805
afhq_dog_001544,15,afhq_cat_010011
afhq_dog_004548,1,afhq_cat_011932
afhq_dog_004548,2,afhq_cat_010550
afhq_dog_004548,3,afhq_cat_011902
afhq_dog_004548,4,afhq_cat_011563
afhq_dog_004548,5,afhq_cat_013328
afhq_dog_004548,6,afhq_cat_012236
afhq_dog_004548,7,afhq_cat_013908
afhq_dog_004548,8,afhq_cat_014285
afhq_dog_004548,9,afhq_cat_013232
afhq_dog_004548,10,afhq_cat_010911
afhq_dog_004548,11,afhq_cat_013159
afhq_dog_004548,12,afhq_cat_013174
afhq_dog_004548,13,afhq_cat_013456
afhq_dog_004548,14,afhq_cat_009575
afhq_dog_004548,15,afhq_cat_012892
afhq_dog_000477,1,afhq_cat_010550
afhq_dog_000477,2,afhq_cat_014502
afhq_dog_000477,3,afhq_cat_013829
afhq_dog_000477,4,afhq_cat_010107
afhq_dog_000477,5,afhq_cat_014126
afhq_dog_000477,6,afhq_cat_013318
afhq_dog_000477,7,afhq_cat_013999
afhq_dog_000477,8,afhq_cat_014420
afhq_dog_000477,9,afhq_cat_009884
afhq_dog_000477,10,afhq_cat_013101
afhq_dog_000477,11,afhq_cat_009942
afhq_dog_000477,12,afhq_cat_014094
afhq_dog_000477,13,afhq_cat_012941
afhq_dog_000477,14,afhq_cat_010390
afhq_dog_000477,15,afhq_cat_012494
afhq_dog_003178,1,afhq_cat_016046
afhq_dog_003178,2,afhq_cat_013286
afhq_dog_003178,3,afhq_cat_009525
afhq_dog_003178,4,afhq_cat_012996
afhq_dog_003178,5,afhq_cat_013793
afhq_dog_003178,6,afhq_cat_010208
afhq_dog_003178,7,afhq_cat_014479
afhq_dog_003178,8,afhq_cat_013866
afhq_dog_003178,9,afhq_cat_012044
afhq_dog_003178,10,afhq_cat_013221
afhq_dog_003178,11,afhq_cat_010067
afhq_dog_003178,12,afhq_cat_012494
afhq_dog_003178,13,afhq_cat_010044
afhq_dog_003178,14,afhq_cat_012941
afhq_dog_003178,15,afhq_cat_012989
afhq_dog_000060,1,afhq_cat_010017
afhq_dog_000060,2,afhq_cat_012463
afhq_dog_000060,3,afhq_cat_010557
afhq_dog_000060,4,afhq_cat_010050
afhq_dog_000060,5,afhq_cat_011573
afhq_dog_000060,6,afhq_cat_010038
afhq_dog_000060,7,afhq_cat_011593
afhq_dog_000060,8,afhq_cat_011457
afhq_dog_000060,9,afhq_cat_010945
afhq_dog_000060,10,afhq_cat_014514
afhq_dog_000060,11,afhq_cat_011798
afhq_dog_000060,12,afhq_cat_014479
afhq_dog_000060,13,afhq_cat_010011
afhq_dog_000060,14,afhq_cat_014078
afhq_dog_000060,15,afhq_cat_010820
afhq_dog_014685,1,afhq_cat_012276
afhq_dog_014685,2,afhq_cat_014420
afhq_dog_014685,3,afhq_cat_013351
afhq_dog_014685,4,afhq_cat_010420
afhq_dog_014685,5,afhq_cat_009773
afhq_dog_014685,6,afhq_cat_012539
afhq_dog_014685,7,afhq_cat_010210
afhq_dog_014685,8,afhq_cat_013168
afhq_dog_014685,9,afhq_cat_014502
afhq_dog_014685,10,afhq_cat_009706
afhq_dog_014685,11,afhq_cat_013829
afhq_dog_014685,12,afhq_cat_011870
afhq_dog_014685,13,afhq_cat_013770
afhq_dog_014685,14,afhq_cat_015827
afhq_dog_014685,15,afhq_cat_015803
afhq_dog_002629,1,afhq_cat_010208
afhq_dog_002629,2,afhq_cat_013451
afhq_dog_002629,3,afhq_cat_014365
afhq_dog_002629,4,afhq_cat_015820
afhq_dog_002629,5,afhq_cat_010387
afhq_dog_002629,6,afhq_cat_012782
afhq_dog_002629,7,afhq_cat_012460
afhq_dog_002629,8,afhq_cat_012091
afhq_dog_002629,9,afhq_cat_010744
afhq_dog_002629,10,afhq_cat_013242
afhq_dog_002629,11,afhq_cat_010099
afhq_dog_002629,12,afhq_cat_013955
afhq_dog_002629,13,afhq_cat_015968
afhq_dog_002629,14,afhq_cat_009682
afhq_dog_002629,15,afhq_cat_010793
afhq_dog_002000,1,afhq_cat_014229
afhq_dog_002000,2,afhq_cat_013168
afhq_dog_002000,3,afhq_cat_011597
afhq_dog_002000,4,afhq_cat_009618
afhq_dog_002000,5,afhq_cat_011563
afhq_dog_002000,6,afhq_cat_013467
afhq_dog_002000,7,afhq_cat_012647
afhq_dog_002000,8,afhq_cat_010136
afhq_dog_002000,9,afhq_cat_010911
afhq_dog_002000,10,afhq_cat_012821
afhq_dog_002000,11,afhq_cat_012985
afhq_dog_002000,12,afhq_cat_009884
afhq_dog_002000,13,afhq_cat_014169
afhq_dog_002000,14,afhq_cat_011196
afhq_dog_002000,15,afhq_cat_010112
afhq_dog_004607,1,afhq_cat_011870
afhq_dog_004607,2,afhq_cat_010945
afhq_dog_004607,3,afhq_cat_014078
afhq_dog_004607,4,afhq_cat_011573
afhq_dog_004607,5,afhq_cat_012996
afhq_dog_004607,6,afhq_cat_010323
afhq_dog_004607,7,afhq_cat_009942
afhq_dog_004607,8,afhq_cat_013614
afhq_dog_004607,9,afhq_cat_014126
afhq_dog_004607,10,afhq_cat_013967
afhq_dog_004607,11,afhq_cat_011311
afhq_dog_004607,12,afhq_cat_016015
afhq_dog_004607,13,afhq_cat_012329
afhq_dog_004607,14,afhq_cat_009544
afhq_dog_004607,15,afhq_cat_010011
afhq_dog_004585,1,afhq_cat_015733
afhq_dog_004585,2,afhq_cat_013286
afhq_dog_004585,3,afhq_cat_013122
afhq_dog_004585,4,afhq_cat_010911
afhq_dog_004585,5,afhq_cat_015634
afhq_dog_004585,6,afhq_cat_015801
afhq_dog_004585,7,afhq_cat_010098
afhq_dog_004585,8,afhq_cat_013090
afhq_dog_004585,9,afhq_cat_010323
afhq_dog_004585,10,afhq_cat_012150
afhq_dog_004585,11,afhq_cat_015791
afhq_dog_004585,12,afhq_cat_013006
afhq_dog_004585,13,afhq_cat_010557
afhq_dog_004585,14,afhq_cat_013168
afhq_dog_004585,15,afhq_cat_016046
afhq_dog_004395,1,afhq_cat_011573
afhq_dog_004395,2,afhq_cat_011798
afhq_dog_004395,3,afhq_cat_012387
afhq_dog_004395,4,afhq_cat_012539
afhq_dog_004395,5,afhq_cat_012463
afhq_dog_004395,6,afhq_cat_013697
afhq_dog_004395,7,afhq_cat_010210
afhq_dog_004395,8,afhq_cat_010420
afhq_dog_004395,9,afhq_cat_010376
afhq_dog_004395,10,afhq_cat_013090
afhq_dog_004395,11,afhq_cat_011174
afhq_dog_004395,12,afhq_cat_014126
afhq_dog_004395,13,afhq_cat_014383
afhq_dog_004395,14,afhq_cat_013214
afhq_dog_004395,15,afhq_cat_013161
afhq_dog_015007,1,afhq_cat_012387
afhq_dog_015007,2,afhq_cat_011967
afhq_dog_015007,3,afhq_cat_011460
afhq_dog_015007,4,afhq_cat_013999
afhq_dog_015007,5,afhq_cat_015801
afhq_dog_015007,6,afhq_cat_012150
afhq_dog_015007,7,afhq_cat_013305
afhq_dog_015007,8,afhq_cat_013908
afhq_dog_015007,9,afhq_cat_010652
afhq_dog_015007,10,afhq_cat_014126
afhq_dog_015007,11,afhq_cat_014169
afhq_dog_015007,12,afhq_cat_010557
afhq_dog_015007,13,afhq_cat_015702
afhq_dog_015007,14,afhq_cat_012198
afhq_dog_015007,15,afhq_cat_012236
afhq_dog_002051,1,afhq_cat_012236
afhq_dog_002051,2,afhq_cat_013456
afhq_dog_002051,3,afhq_cat_012513
afhq_dog_002051,4,afhq_cat_013232
afhq_dog_002051,5,afhq_cat_013214
afhq_dog_002051,6,afhq_cat_012647
afhq_dog_002051,7,afhq_cat_009525
afhq_dog_002051,8,afhq_cat_013935
afhq_dog_002051,9,afhq_cat_012835
afhq_dog_002051,10,afhq_cat_013344
afhq_dog_002051,11,afhq_cat_014124
afhq_dog_002051,12,afhq_cat_009880
afhq_dog_002051,13,afhq_cat_014514
afhq_dog_002051,14,afhq_cat_009682
afhq_dog_002051,15,afhq_cat_014383
afhq_dog_000513,1,afhq_cat_015803
afhq_dog_000513,2,afhq_cat_012372
afhq_dog_000513,3,afhq_cat_013214
afhq_dog_000513,4,afhq_cat_013467
afhq_dog_000513,5,afhq_cat_012772
afhq_dog_000513,6,afhq_cat_015634
afhq_dog_000513,7,afhq_cat_010382
afhq_dog_000513,8,afhq_cat_012996
afhq_dog_000513,9,afhq_cat_011027
afhq_dog_000513,10,afhq_cat_011834
afhq_dog_000513,11,afhq_cat_015851
afhq_dog_000513,12,afhq_cat_014080
afhq_dog_000513,13,afhq_cat_010323
afhq_dog_000513,14,afhq_cat_015876
afhq_dog_000513,15,afhq_cat_013932
afhq_dog_004159,1,afhq_cat_014080
afhq_dog_004159,2,afhq_cat_015876
afhq_dog_004159,3,afhq_cat_014024
afhq_dog_004159,4,afhq_cat_012835
afhq_dog_004159,5,afhq_cat_010376
afhq_dog_004159,6,afhq_cat_015702
afhq_dog_004159,7,afhq_cat_014078
afhq_dog_004159,8,afhq_cat_015634
afhq_dog_004159,9,afhq_cat_011413
afhq_dog_004159,10,afhq_cat_015871
afhq_dog_004159,11,afhq_cat_009525
afhq_dog_004159,12,afhq_cat_011902
afhq_dog_004159,13,afhq_cat_013261
afhq_dog_004159,14,afhq_cat_010210
afhq_dog_004159,15,afhq_cat_014126
afhq_dog_003657,1,afhq_cat_014213
afhq_dog_003657,2,afhq_cat_014126
afhq_dog_003657,3,afhq_cat_010848
afhq_dog_003657,4,afhq_cat_012494
afhq_dog_003657,5,afhq_cat_016015
afhq_dog_003657,6,afhq_cat_010238
afhq_dog_003657,7,afhq_cat_013328
afhq_dog_003657,8,afhq_cat_009629
afhq_dog_003657,9,afhq_cat_010376
afhq_dog_003657,10,afhq_cat_009884
afhq_dog_003657,11,afhq_cat_015803
afhq_dog_003657,12,afhq_cat_015801
afhq_dog_003657,13,afhq_cat_013450
afhq_dog_003657,14,afhq_cat_013159
afhq_dog_003657,15,afhq_cat_009618
afhq_dog_004398,1,afhq_cat_010313
afhq_dog_004398,2,afhq_cat_012072
afhq_dog_004398,3,afhq_cat_009706
afhq_dog_004398,4,afhq_cat_013214
afhq_dog_004398,5,afhq_cat_011356
afhq_dog_004398,6,afhq_cat_012522
afhq_dog_004398,7,afhq_cat_012598
afhq_dog_004398,8,afhq_cat_010067
afhq_dog_004398,9,afhq_cat_010815
afhq_dog_004398,10,afhq_cat_012149
afhq_dog_004398,11,afhq_cat_012513
afhq_dog_004398,12,afhq_cat_015876
afhq_dog_004398,13,afhq_cat_010557
afhq_dog_004398,14,afhq_cat_014229
